other_description,action
UNHOLSTERED,Other description
UNHOLSTERED SERVICE WEAPON,Other description
UNHOLSTERED WEAPON,Other description
UNHOLSTERED WEAPON ,Other description
UNHOLSTERED WEAPON FOR SAFETY,Other description
UNIFORMED POLICE ASSISTANCE,Other description
UNINTENTIONAL DISCHARGE,Firearm
UNITS CALLED FOR ASSISTANCE,Other description
UNITS PLACED SUBJECT IN CUSTDY,Other description
UNK,Other description
UNKNOWN,Other description
UPPER BODY CONTROL TECHNIQUE,Other description
UPPER BODY HOLD,Other description
UPPER BODY HOLD TECHNIQUE ,Other description
USE ARMS TO DEFLECT BLOWS,Other description
USE AVERTIVE ACTION,Other description
USE BODY MASS AGAINST STAIRS,Other description
USE BODY WEIGHT TO CONTORL SUB,Other description
USE BODY WEIGHT TO SUBDUE SUB,Other description
USE BODY WIEGHT FOR CONTROL,Other description
USE DOOR TO PUSH SUBJECT BACK,Other description
USE LEG RESTRAINTS,Other description
USE NECESSARY FORCE TO EFFECT ,Other description
USE NECESSARY FORCE TO HANDCUF,Other description
USE OF BALLSITIC SHIELD,Other description
USE OF BODY WEIGHT,Other description
USE OF BODY WEIGHT TO RESTRAIN,Other description
USE OF LEG IRONS,Other description
USE SUPERIOR BODY POSTION ,Other description
USED BODY ,Other description
USED BODY TO CONTROL SUBJECT,Other description
USED BODY TO HOLD IN PLACE,Other description
USED BODY TO RESTRAIN SUBJECT.,Other description
USED BODY WEIGHT,Other description
USED BODY WEIGHT FOR CONTROL,Other description
USED BODY WEIGHT TO CONTROL,Other description
USED BODY WEIGHT TO CONTROL ,Other description
USED BODY WEIGHT TO CONTROL OF,Other description
USED BODY WEIGHT TO CONTROL SU,Other description
USED BODY WEIGHT TO HOLD DOWN,Take down
USED BODY WEIGHT TO KEEP DOWN,Take down
USED BODY WEIGHT TO RESTRAIN,Other description
USED BODY WEIGHT TO SUDUE SUB.,Other description
USED CONTROL TACTICS,Other description
USED DE ESCALATION TECHNIQUE,Other description
USED DEADLY FORCE,Firearm
USED DEFENSIVE TACTICS,Other description
USED FEET TO HOLD SUBJECT DOWN,Take down
USED FOOT TO CONTROL OFFENDER,Other description
USED FOOT TO PROTECT,Other description
USED FOOT TO PUSH SUBJECT AWAY,Other description
USED FOOT TO REMOVE BOTTLE ,Other description
USED FOREARM T0 CHEST OF OFF,Other description
USED FOREARM TO RESTRAIN SUBJ.,Other description
USED HAIR TO RESTRAIN,Other description
USED HAND TO HOLD DOWN SUBJECT,Take down
USED HAND TO PUSH HEAD AWAY,Other description
USED HAND TO PUSH ONTO THE CAR,Other description
USED HAND TO SHIELD & DISTANCE,Other description
USED HANDS ,Other description
USED HANDS -PULLED  DOWN,Take down
USED HANDS TO CONTROL OFFENDER,Other description
USED HANDS TO CONTROL SUBJECT,Other description
USED HANDS TO ESTABLISH SPACE,Other description
USED HANDS TO GAIN CONTROL ,Other description
USED HANDS TO HOLD DOWN,Take down
USED HANDS TO HOLD RESISTER,Other description
USED HANDS TO REMOVE HAMMER,Other description
USED HOLDS,Other description
USED IN DEFENSE OF ANOTHER,Other description
USED KEYS TO LOOSEN LEG GRIP ,Other description
USED LEG FOR LEVERAGE,Other description
USED LEG RESTRAINTS,Other description
USED LEGS AND HANDS CONTROL,Other description
USED NECESSARY FORCE,Other description
USED OPEN ,Other description
USED PEPPER SPRAY,OC/Chemical weapon
USED POLICE VEHICLE,Other description
USED RADIO TO BREAK CAR WINDOW,Other description
USED STATIONARY OBJECTS,Other description
USED TABLE TO CREATE DISTANCE,Other description
USED TACTICS TO GAIN CONTROL ,Other description
USED TO AFFECT ARREST,Other description
USED TO DEFEAT THREAT,Other description
USED TO DESTROY ATTACKING DOG,Other description
USED TO DETER ATTACK DOG,Other description
USED VEHICLE TO STOP OFF'S VEH,Other description
UTILIZED ASSISTANCE,Other description
UTILIZED ASSISTING OFFICERS,Other description
UTILIZED DEESCLATION TECHNIQUE,Other description
UTILIZED HANDS AND FEET ,Other description
VARIOUS HOLDS ,Other description
VEHICLE PURSUIT,Other description
VEHICLE PUSUED,Other description
VICIOUS CHARGING DOG,Other description
WAITED FOR BACKUP ASSISTANCE,Other description
WAITED FOR SUBJECT COOPERATION,Other description
WALKED AWAY,Other description
"WALKED AWAY, WASHED ARM ",Other description
WALKED AWAY/CALLED 911,Other description
WALKED PASS OFFENDER,Other description
WALKED WITH,Other description
"WARNING, NEGOTIATIONS",Other description
WARNINGS AND NEGOTIATIONS,Other description
WAS ABLE TO STOP VEHICLE ,Other description
WAS ASSISTED BY COUNTY OFFICER,Other description
WAS BATTERING OTHER OFFICERS.,Other description
WE HAD TO CARRY HER TO WAGON,Other description
WE HAD TO CARRY TO WAGON,Other description
WEAPON DISCHARGE,Firearm
WEAPON DISCHARGE/DESTROY DOG,Firearm
WEAPON DISCHARGED TO DESTROY A,Firearm
WEAPON DISPLAYED,Other description
WEAPON DISPLAYED ,Other description
WEAPON DISPLAYED BY P.O. ,Other description
WEAPON DRAWN,Other description
WEAPON OUT ATTEMPTED USE,Other description
WEAPON POINTED AT OFFENDER,Other description
WEAPON RAISED AT THE READY,Other description
WEAPON RETENTION TACTIC,Other description
WEAPON SHOWN,Other description
WEAPON UNHOLSTERED / NOT USED,Other description
WEAPON UNHOLSTERED/ NOT USED,Other description
WEAPONS DISCHARGE,Firearm
WEAVED OUT OF THE WAY,Other description
WHILE IN UNIFORM ,Other description
WIPED SPIT OFF PERSON,Other description
WITH NO CONTACT,Other description
WITH OPN HAND PUSHED OFFENDER,Other description
WITHDREW SUBJECT BY ANKLES ,Other description
WITHDREW WEAPON,Other description
WITNESSES ASSISTED,Other description
WOULD NOT LEAVE WHEN ASKED,Other description
WRAPPED ARMS AROUND OFF.,Other description
WRAPPED ARMS AROUND SUBJECT,Other description
WRAPPED ARRESTEE UP WITH ARMS,Other description
WRESTLE,Other description
WRESTLE DRUGS FROM OFFENDER,Other description
WRESTLE OFF. GROUND.IN SELF DE,Take down
WRESTLE TO THE GROUND,Take down
WRESTLED,Other description
WRESTLED  WITH  SUBJECT,Other description
WRESTLED DOWN TO GAIN CONTROL,Take down
WRESTLED OFFENDER,Other description
WRESTLED OFFENDER TO GROUND,Take down
WRESTLED ON FLOOR,Take down
WRESTLED ON GROUND,Take down
WRESTLED ON THE GROUND ,Take down
WRESTLED OUT OF OPEN VEHICLE,Other description
WRESTLED SUBJECT,Other description
WRESTLED SUBJECT TO GROUND,Take down
WRESTLED SUBJECT TO GROUND ,Take down
WRESTLED THE OFFENDER,Other description
WRESTLED TO GAIN CONTROL,Other description
WRESTLED TO GROUND,Take down
WRESTLED TO THE GROUND ,Take down
WRESTLED W/OFFENDER,Other description
WRESTLED WITH OFFENDER,Other description
WRESTLED WITH OFFENDER ,Other description
WRESTLED WITH SUBJECT,Other description
"WRESTLED, TOOK SUBJECT DOWN",Take down
WRESTLED/CONTROL W/ARMS ,Other description
WRESTLED/STRUGGLED W/SUBJECT,Other description
WRESTLING ,Other description
WRESTLING WITH OFFENDER,Other description
WROTE THREAT AND REPORTED IT,Other description
X00-105747,Taser
XX,Other description
YANK ARM BEHIND BACK,Other description
"YELLING "" STOP RESISTING""",Verbal direction/control techniques
